icd_code,ED,IPD
S0990XA,1153,1000
S065X0A,1006,1148
T814XXA,948,1925
S066X0A,769,824
S2249XA,672,896
S72009A,451,205
S0090XA,443,25
S0100XA,376,497
S0180XA,375,436
S270XXA,370,572
S32009A,350,492
S2241XA,310,529
S2242XA,304,532
S1093XA,302,566
S022XXA,298,656
T783XXA,295,422
S22009A,294,434
S06360A,291,151
T82898A,267,513
S1091XA,260,398
S72146A,240,314
S0101XA,238,463
S066X9A,225,493
S82899A,220,135
T82868A,218,667
S32509A,209,302
S2239XA,203,311
S0181XA,190,432
T829XXA,185,659
S52509A,184,159
S0292XA,175,173
T424X4A,173,236
T8189XA,172,237
S065X9A,169,479
S82109A,165,168
S2220XA,165,257
S72142A,155,198
S12101A,154,195
S023XXA,148,256
S02402A,148,265
S72141A,145,168
S0210XA,135,184
S01409A,132,154
T8131XA,132,473
S32409A,130,170
S098XXA,128,54
T391X4A,124,138
S42009A,123,123
S329XXA,120,31
T7840XA,120,168
S7010XA,119,185
S91009A,119,149
T401X4A,113,147
S01501A,109,137
S32019A,109,188
S72002A,107,131
S42209A,105,60
S36113A,104,99
T68XXXA,102,156
T401X1A,102,111
S82846A,100,118
S72092A,99,23
S51809A,98,110
S27329A,98,247
S20219A,94,149
T18198A,93,110
S99919A,93,64
T43294A,93,114
S90519A,92,269
S22089A,90,112
S72309A,90,151
S60819A,89,173
S272XXA,88,238
S300XXA,87,237
S82142A,87,99
S12100A,86,71
S72091A,85,14
S12001A,85,88
S0219XA,83,232
T8589XA,82,97
T18128A,82,92
T07,80,97
S0269XA,78,43
S82402A,78,122
T827XXA,77,462
S322XXA,77,160
S12601A,76,131
S82851A,75,80
S61409A,74,83
S271XXA,72,138
S72001A,72,113
S12501A,71,110
S82856A,70,95
S61509A,69,81
S0083XA,69,247
S82832A,68,124
S32029A,67,140
T424X2A,67,117
T84029A,66,66
T8141XA,65,106
S32591A,65,122
S92309A,64,110
S060X9A,64,130
S61209A,61,88
T8149XA,61,92
S82841A,61,65
S199XXA,60,51
T8130XA,59,74
T4274XA,59,78
S52026A,59,64
S82009A,59,70
S2232XA,58,182
T781XXA,58,47
S0081XA,58,311
S61512A,58,80
T391X2A,57,84
S51812A,57,91
S129XXA,57,42
S020XXA,57,129
S36039A,57,33
S01112A,56,118
S42216A,56,96
S72409A,56,41
S12600A,55,96
S32592A,55,124
T464X5A,54,214
S01511A,54,134
T43594A,54,72
T84049A,54,46
S82141A,53,85
S82852A,53,66
S72099A,53,110
S36031A,53,58
S6990XA,51,41
S42296A,51,81
S51009A,51,73
S8000XA,51,88
S025XXB,49,99
S82402B,49,55
S060X0A,48,77
T82838A,48,94
T182XXA,48,72
S92009A,48,70
S82831A,47,70
S06300A,47,17
S06370A,47,11
S2231XA,47,166
S7226XA,46,76
S06369A,46,46
S12401A,45,85
S066X1A,45,86
S12500A,45,84
S2243XA,45,170
T782XXA,45,72
S82842A,45,47
S335XXA,44,47
S52609A,44,92
T39394A,44,45
S1190XA,44,45
T84020A,44,42
T888XXA,44,278
S60519A,44,75
T8740,43,89
S7000XA,43,94
S32039A,43,109
S01111A,43,113
S72012A,43,62
S52126A,42,59
S52502A,41,81
S71109A,41,63
S62309A,41,42
S68629A,41,40
T50904A,40,23
S0125XA,40,64
S12000A,40,38
S72011A,39,57
S065X1A,39,74
S42109A,39,63
S298XXA,37,19
S36899A,37,101
T45515A,37,1063
S8010XA,37,98
S22069A,37,74
S72491A,36,11
