icd_code,ED,IPD
H60399,35,75
H81399,32,156
H6690,22,90
H6092,13,17
H6692,13,37
H8110,12,284
H8113,11,234
H6691,11,27
H9190,10,1644
H6011,9,13
H9319,8,144
H9209,8,75
H6012,8,13
H9202,6,27
H9201,6,20
H748X9,6,23
H7090,5,9
H6091,4,12
H6093,3,4
H70002,3,6
H8149,3,15
H70001,3,1
H902,2,28
H9312,2,21
H7092,2,6
H933X9,2,45
H8190,2,6
H8109,2,175
H8123,2,106
H61001,2,1
H6693,2,10
H6020,2,7
H8309,2,28
H70009,2,2
H6021,2,2
H608X1,1,0
H7011,1,1
H7091,1,10
H93099,1,0
H6023,1,2
H8393,1,0
H66003,1,0
H61129,1,1
H9042,1,27
H6123,1,52
H9123,1,0
H7490,1,1
H9220,1,12
H61002,1,3
H818X9,1,4
H73011,1,1
H70891,1,0
H7292,1,11
H66002,1,1
H93A2,1,2
H913,1,27
H7293,1,2
H7291,1,6
H933X2,1,6
H933X1,1,4
H6022,1,3
H9203,1,6
H8301,1,5
H9325,1,4
H6121,1,11
H61012,1,0
H905,0,350
H9193,0,164
H8120,0,64
H9192,0,59
H9191,0,56
H903,0,54
H918X9,0,37
H9313,0,23
H81319,0,21
H908,0,16
H918X2,0,15
H6980,0,15
H9110,0,15
H918X3,0,14
H73892,0,14
H9311,0,13
H6120,0,13
H8122,0,12
H6122,0,10
H8121,0,10
H73891,0,9
H918X1,0,9
H938X9,0,9
H7290,0,8
H832X9,0,8
H8111,0,8
H6590,0,8
H9113,0,7
H8112,0,7
H9109,0,6
H81391,0,6
H8102,0,6
H81392,0,5
H9012,0,5
H93A9,0,5
H7010,0,5
H9041,0,5
H6090,0,5
H9222,0,4
H8302,0,4
H8090,0,4
H93A3,0,4
H8093,0,4
H8191,0,3
H906,0,3
H81393,0,3
H8101,0,3
H7193,0,3
H6001,0,3
H73899,0,3
H748X1,0,3
H73893,0,3
H6592,0,3
H6640,0,2
H93232,0,2
H70003,0,2
H60502,0,2
H900,0,2
H6983,0,2
H9213,0,2
H833X2,0,2
H663X9,0,2
H66011,0,2
H7190,0,2
H70209,0,2
H60392,0,2
H61032,0,2
H6241,0,2
H6982,0,2
H61031,0,2
H833X9,0,2
H61892,0,2
H9210,0,2
H60501,0,2
H8103,0,2
H7103,0,1
H7012,0,1
H6991,0,1
H9071,0,1
H838X9,0,1
H6061,0,1
H90A22,0,1
H9011,0,1
H6520,0,1
H8143,0,1
H6062,0,1
H70892,0,1
H9211,0,1
H818X2,0,1
H7192,0,1
H7422,0,1
H66001,0,1
H8142,0,1
H9588,0,1
H9103,0,1
H818X3,0,1
H7191,0,1
H70899,0,1
H61039,0,1
H8080,0,1
H6981,0,1
H65119,0,1
H65192,0,1
H93A1,0,1
H6240,0,1
H7440,0,1
H673,0,1
H7580,0,1
H8390,0,1
H608X3,0,1
H68003,0,1
H6243,0,1
H65413,0,1
H93239,0,1
H9482,0,1
H748X3,0,1
H8303,0,1
H70092,0,1
H60391,0,1
H8192,0,1
H60393,0,1
H60503,0,1
H68109,0,1
H9101,0,1
H7421,0,1
H66012,0,1
H6500,0,1
H8392,0,1
H60331,0,1
H938X2,0,1
H938X3,0,1
H61812,0,1
H66009,0,1
H93012,0,1
H66019,0,1
H65499,0,1
H70091,0,1
H6593,0,1
H9121,0,1
H68101,0,1
H60599,0,1
H6002,0,1
H8193,0,1
H6190,0,1
H7093,0,1
H81312,0,1
H6502,0,1
H6990,0,1
H838X2,0,1
H9212,0,1
H9223,0,1
