icd_code,ED,IPD
R079,15618,8053
R4182,9017,3090
R45851,7819,7888
R509,6701,3746
R109,6064,3742
R55,5321,4855
R0600,4974,1019
R531,4157,1896
R1030,3819,1275
R42,3378,3375
R5383,3071,2362
R112,2997,5105
R51,2900,4611
R197,2409,6569
R0602,2366,1594
R1013,2326,2157
R0689,2006,1541
R1011,1922,1145
R0902,1774,6129
R0789,1764,5882
R000,1585,4146
R1031,1334,769
R05,1211,2305
R002,1208,1123
R262,1204,760
R001,1162,5679
R451,1087,1802
R1032,1020,682
R569,926,2701
R1112,900,392
R1084,840,364
R110,824,2930
R319,793,1608
R209,734,1329
R9431,699,1110
R188,688,3440
R627,680,2389
R17,648,427
R791,616,4261
R401,600,1163
R29898,576,1402
R200,571,660
R21,567,1422
R339,564,5000
R1110,556,532
R871,536,0
R410,490,1110
R1012,480,410
R7881,472,2271
R6521,451,3886
R609,437,1516
R221,416,295
R29810,375,2322
R5081,372,1343
R740,364,4610
R6520,357,3480
R443,351,348
R040,300,859
R4701,297,2127
R4789,288,499
R440,264,352
R45850,264,584
R1310,262,3972
R042,234,579
R1111,233,11
R1033,212,128
R600,210,1021
R102,191,281
R269,190,1744
R222,160,241
R5082,135,350
R279,132,503
R143,130,199
R471,129,1883
R2681,123,662
R049,120,207
R0489,119,141
R300,118,465
R9439,117,155
R140,117,151
R259,106,509
R4781,103,324
R441,102,238
R0781,98,619
R52,97,724
R918,96,1675
R634,96,2669
R7989,94,1095
R578,93,818
R579,93,486
R062,92,187
R6884,92,224
R220,88,88
R0603,81,90
R570,81,1105
R202,74,337
R1900,72,96
R1909,71,89
R270,69,290
R070,68,127
R789,63,199
R630,63,918
R599,60,641
R251,55,352
R072,55,362
R58,55,141
R32,54,2619
R748,53,1282
R870,51,0
R413,50,621
R1319,49,281
R0682,48,236
R7309,47,907
R945,42,320
R310,41,1197
R4020,41,202
R6883,41,170
R61,38,452
R309,38,354
R419,35,170
R0989,35,90
R2689,34,334
R160,33,82
R092,33,23
R1010,31,41
R739,30,695
R061,30,52
R011,28,430
R1901,28,4
R944,27,217
R196,26,42
R350,26,730
R6889,24,90
R911,24,2293
R195,24,722
R066,22,208
R4581,22,1
R238,22,92
R229,21,50
R400,21,306
R159,20,744
R601,20,109
R571,19,257
R483,19,98
R2991,19,49
R180,17,528
R161,16,543
R930,15,108
R5381,15,269
R233,15,98
R252,14,283
R6510,14,284
R591,13,243
R230,13,26
R338,13,2117
R031,13,129
R680,11,293
R0609,11,112
R260,11,193
R10811,10,5
R278,10,205
R631,10,122
R64,10,1510
R0601,9,69
R490,9,228
R198,9,60
R4189,9,134
R69,8,14
R208,8,124
R590,8,365
R457,8,36
R8299,8,967
R1903,7,8
R3989,7,52
R7611,7,538
R34,7,538
R502,7,118
R935,7,150
R10816,6,6
R635,6,88
R809,6,294
R938,6,159
R253,6,40
R404,5,44
R10819,5,17
R5084,5,47
R030,5,1183
R069,5,0
R312,5,312
R937,5,55
R875,5,0
R4689,5,10
R4181,5,70
R7303,5,746
R479,5,30
R358,4,108
R10814,4,7
R6251,4,2
R1904,4,14
R071,4,11
R0681,4,96
R232,4,70
R442,4,17
R799,3,12
R008,3,73
R12,3,120
R100,3,6
R780,3,3
R10813,3,6
R439,3,2
R769,3,95
R498,3,9
R682,3,79
R4183,3,17
R10815,2,1
R2243,2,6
R296,2,367
R130,2,5
R2232,2,12
R561,2,44
R234,2,42
R1905,2,0
R839,2,10
R9430,2,2
R231,2,18
R412,2,9
R4587,2,14
R9089,2,29
R931,2,48
R822,2,1
R482,2,41
R9389,2,44
R1902,2,5
R948,2,56
R064,2,20
R488,2,135
R091,2,62
R700,2,37
R499,2,7
R2242,2,13
R620,1,0
R5382,1,127
R290,1,8
R3911,1,109
R6811,1,0
R151,1,4
R942,1,33
R6881,1,127
R946,1,131
R10829,1,6
R369,1,15
R455,1,0
R449,1,7
R10822,1,1
R5601,1,0
R142,1,17
R10821,1,4
R835,1,3
R4584,1,21
R860,1,0
R411,1,8
R462,1,15
R971,1,12
R39198,1,29
R10817,1,4
R824,1,81
R9409,1,16
R3919,1,34
R041,1,11
R480,1,37
R063,1,28
R093,1,20
R4782,1,5
R1083,1,0
R6252,1,2
R94138,1,0
R888,1,0
R831,1,0
R859,1,0
R009,1,1
R845,1,6
R450,1,0
R838,1,5
R8271,1,744
R9401,1,34
R7889,1,23
R850,1,0
R2231,1,16
R6259,1,4
R785,1,2
R0981,1,82
R454,1,15
R4702,1,78
R10823,1,3
R3129,1,242
R1906,1,1
R402410,1,3
R849,1,0
R311,1,1
R162,1,13
R530,1,29
R892,1,5
R292,1,78
R1312,0,911
R414,0,565
R402362,0,374
R402142,0,314
R710,0,313
R402252,0,250
R3915,0,212
R402212,0,160
R6250,0,153
R29700,0,149
R330,0,148
R351,0,135
R402112,0,130
R3914,0,126
R402363,0,122
R29701,0,116
R29702,0,111
R402143,0,107
R29703,0,101
R402242,0,99
R54,0,98
R0982,0,97
R402352,0,97
R972,0,97
R402412,0,92
R7982,0,88
R1311,0,87
R29704,0,82
R402132,0,81
R9720,0,80
R402253,0,78
R7302,0,74
R933,0,72
R1313,0,70
R3121,0,67
R402213,0,66
R29818,0,56
R29705,0,53
R29708,0,50
R8290,0,49
R29706,0,49
R258,0,48
R402113,0,47
R6511,0,46
R934,0,45
R402432,0,45
R932,0,45
R760,0,45
R9721,0,44
R7301,0,44
R432,0,43
R29709,0,42
R532,0,41
R928,0,41
R8279,0,40
R632,0,39
