icd_code,ED,IPD
N390,8040,16961
N179,5210,27389
N186,2177,7084
N12,919,1094
N189,515,12574
N289,495,794
N200,481,1188
N10,354,587
N99821,314,1013
N19,222,51
N201,214,486
N1330,180,1534
N939,124,196
N898,120,181
N132,99,382
N61,99,140
N23,95,32
N8329,83,282
N938,57,112
N280,50,192
N453,49,114
N9989,48,247
N492,47,62
N499,46,64
N739,43,144
N7093,39,86
N2889,37,315
N99528,36,23
N610,35,53
N183,35,8403
N764,34,55
N184,29,2741
N419,28,141
N3091,26,180
N920,25,279
N400,24,8851
N139,24,301
N136,23,333
N451,22,31
N4400,21,20
N508,20,113
N185,19,779
N644,18,50
N9489,18,78
N611,18,40
N410,17,75
N138,17,447
N838,16,54
N839,15,47
N8353,15,43
N63,14,114
N501,14,30
N83209,14,24
N049,14,79
N8320,14,62
N3080,14,40
N763,14,81
N319,14,1397
N151,14,63
N981,13,30
N719,13,53
N4830,13,19
N99522,12,48
N732,12,40
N472,12,65
N321,11,107
N135,11,132
N3289,11,453
N809,11,237
N738,11,10
N83512,11,16
N9983,10,34
N83511,10,19
N4829,10,21
N83202,10,76
N3090,10,270
N454,9,10
N08,9,1359
N059,9,275
N710,9,10
N83201,9,96
N5089,9,77
N452,9,9
N493,9,19
N481,8,34
N751,8,7
N4889,8,99
N730,8,22
N281,7,454
N399,7,8
N7003,7,20
N99820,7,50
N342,6,27
N760,6,84
N4822,6,11
N7689,5,11
N489,5,16
N99512,5,8
N50812,5,7
N134,5,76
N361,5,30
N5312,5,35
N412,4,23
N824,4,42
N72,4,8
N3001,4,119
N028,4,97
N202,4,59
N7091,4,9
N401,4,2772
N921,4,23
N432,4,13
N99841,4,5
N8351,4,10
N359,4,104
N7013,3,17
N209,3,16
N99518,3,6
N3081,3,22
N946,3,70
N368,3,60
N808,3,15
N471,3,30
N99840,3,37
N4839,3,3
N814,3,30
N2589,3,113
N857,3,17
N433,3,116
N358,3,18
N762,3,16
N1339,3,123
N211,3,2
N888,2,8
N99842,2,8
N83292,2,18
N5082,2,18
N259,2,1
N6489,2,25
N110,2,19
N3011,2,46
N340,2,6
N2883,2,0
N182,2,991
N9089,2,8
N812,2,28
N431,2,5
N022,2,23
N418,2,6
N99520,2,8
N50811,2,12
N6310,2,12
N269,2,107
N486,2,20
N831,2,28
N39498,2,340
N7011,2,15
N485,2,15
N178,2,150
N823,2,35
N3000,2,131
N6459,2,18
N058,2,86
N899,1,11
N840,1,35
N62,1,66
N043,1,2
N312,1,112
N971,1,3
N181,1,98
N219,1,1
N801,1,27
N649,1,11
N882,1,5
N821,1,5
N035,1,1
N360,1,10
N858,1,35
N766,1,15
N950,1,72
N009,1,28
N8111,1,25
N329,1,64
N320,1,141
N630,1,28
N159,1,5
N7092,1,4
N800,1,37
N045,1,2
N318,1,109
N6320,1,13
N509,1,5
N210,1,96
N529,1,514
N99521,1,33
N942,1,4
N9971,1,5
N4340,1,7
N828,1,5
N130,1,29
N040,1,12
N909,1,6
N711,1,7
N3041,1,81
N8312,1,9
N951,1,28
N842,1,2
N131,1,198
N4289,1,10
N170,0,2932
N2581,0,855
N3281,0,438
N141,0,402
N3941,0,271
N393,0,189
N008,0,95
N39490,0,94
N250,0,88
N411,0,65
N736,0,58
N251,0,53
N952,0,52
N3010,0,52
N912,0,49
N979,0,48
N033,0,47
N323,0,47
N3946,0,43
N990,0,42
N029,0,41
N052,0,36
N261,0,35
N803,0,33
N8110,0,30
N055,0,29
N039,0,29
N038,0,27
N365,0,26
N926,0,24
N3021,0,23
N3944,0,23
N83291,0,22
N111,0,21
N35919,0,18
N402,0,18
N99511,0,17
N6019,0,17
N3040,0,16
N8311,0,15
N879,0,15
N3945,0,15
