icd_code,ED,IPD
O99283,306,245
O26893,130,22
O26892,90,41
O26891,68,40
O9089,61,78
O009,48,2
O210,47,67
O034,31,18
O99343,26,78
O0080,25,7
O4693,23,10
O209,21,8
O99345,20,50
O152,20,21
O2393,17,36
O211,16,20
O8612,16,34
O0090,12,3
O163,12,24
O722,12,26
O039,12,10
O008,12,8
O99353,11,19
O208,10,5
O021,10,34
O2653,10,2
O903,10,18
O864,10,4
O200,9,6
O0489,9,3
O1495,9,5
O99611,8,29
O4692,8,3
O046,8,16
O42913,8,6
O1493,7,3
O99612,7,30
O0487,7,7
O99342,7,20
O9989,7,100
O99341,7,36
O902,6,11
O99323,6,13
O80,5,2
O4292,5,0
O368130,5,7
O42013,5,8
O99013,5,43
O99352,4,10
O031,4,16
O99321,4,6
O2301,4,4
O030,4,10
O045,4,6
O9943,4,20
O99012,4,27
O9963,4,24
O001,4,60
O9122,4,10
O26899,4,1
O24011,4,11
O99011,4,25
O0882,3,9
O8823,3,8
O91113,3,4
O98813,3,19
O8689,3,6
O731,3,6
O24913,3,6
O8629,3,12
O99512,3,21
O24012,3,4
O2302,3,1
O035,3,0
O1490,3,1
O4202,3,18
O871,3,6
O88211,3,5
O4691,3,2
O4413,3,6
O10913,3,17
O364XX0,3,2
O99351,2,12
O42912,2,5
O2300,2,0
O115,2,0
O26833,2,14
O700,2,41
O212,2,3
O99810,2,13
O4593,2,20
O1503,2,2
O721,2,25
O2233,2,6
O480,2,17
O0387,2,0
O2693,2,1
O860,2,5
O2692,2,0
O3412,2,10
O133,2,9
O6003,2,19
O1415,2,24
O9081,2,31
O2251,2,0
O036,2,6
O3481,2,14
O2231,2,2
O165,2,5
O1093,2,11
O2342,2,8
O99413,2,18
O468X3,2,1
O218,2,2
O0337,2,8
O0289,2,1
O76,2,76
O3413,1,23
O751,1,2
O34593,1,11
O26873,1,4
O4103X0,1,6
O99113,1,7
O88213,1,2
O714,1,3
O3443,1,3
O228X3,1,2
O99344,1,33
O98513,1,17
O7589,1,22
O3111X0,1,1
O26853,1,5
O4403,1,0
O3493,1,0
O0081,1,1
O8609,1,0
O318X10,1,0
O99340,1,1
O9279,1,4
O00101,1,12
O99511,1,11
O3411,1,9
O2243,1,2
O24013,1,2
O219,1,14
O754,1,4
O4412,1,4
O99412,1,5
O891,1,0
O1211,1,0
O1423,1,15
O418X30,1,0
O85,1,6
O2293,1,1
O8883,1,0
O723,1,7
O900,1,4
O1413,1,2
O26611,1,1
O411220,1,4
O711,1,0
O24912,1,0
O99313,1,1
O623,1,2
O88811,1,0
O1403,1,0
O2341,1,14
O3432,1,5
O368120,1,0
O98819,1,0
O24911,1,1
O2340,1,0
O26842,1,0
O9903,1,19
O9942,1,5
O4102X0,1,1
O30002,1,2
O2412,1,3
O162,1,1
O99111,1,15
O24019,1,0
O364XX1,1,0
O98711,1,1
O1405,1,1
O98812,1,9
O4432,1,0
O0381,1,0
O2232,1,4
O99411,1,4
O99513,1,6
O30003,1,15
O0331,1,0
O23591,1,3
O10911,1,7
O26832,1,4
O24112,1,1
O080,1,0
O0481,1,0
O09523,0,67
O701,0,58
O99284,0,48
O99824,0,34
O321XX0,0,32
O99213,0,31
O6014X0,0,30
O3421,0,26
O99285,0,25
O081,0,25
O09521,0,24
O99281,0,23
O6981X0,0,22
O9902,0,21
O99215,0,20
O9953,0,19
O6989X0,0,19
O99333,0,19
O99214,0,19
O99282,0,17
O34211,0,16
O770,0,16
O99211,0,15
O0889,0,15
O411230,0,14
O99334,0,14
O30049,0,14
O99212,0,13
O09291,0,13
O09522,0,12
O1092,0,11
O0010,0,10
O621,0,10
O09513,0,10
O99331,0,10
O99355,0,10
O00102,0,9
O691XX0,0,9
O411430,0,9
O99613,0,8
O360930,0,8
O365930,0,8
O09811,0,8
O10912,0,8
O113,0,8
O9832,0,8
O9912,0,8
O904,0,7
O3433,0,7
O24419,0,7
O2343,0,7
O4212,0,7
O9962,0,7
O358XX0,0,7
O9952,0,7
O99332,0,6
O99112,0,6
O94,0,6
O99354,0,6
O4592,0,5
O330,0,5
O0930,0,5
O98312,0,5
O98811,0,5
O99842,0,5
O134,0,5
O99322,0,5
O403XX0,0,5
O42112,0,5
O7182,0,5
O622,0,4
O002,0,4
O09292,0,4
O9852,0,4
O99820,0,4
O071,0,4
O98411,0,4
O24420,0,4
O660,0,4
O328XX0,0,4
O2623,0,4
O09819,0,4
O68,0,4
O135,0,4
O1203,0,4
O2651,0,4
O0339,0,4
O99335,0,4
O4702,0,4
O98413,0,4
O2403,0,3
O1414,0,3
O30041,0,3
O26831,0,3
O019,0,3
O99843,0,3
O4453,0,3
O7582,0,3
O98412,0,3
O7581,0,3
O24111,0,3
O99324,0,3
O0933,0,3
O624,0,3
O716,0,3
O8621,0,3
O09812,0,3
O2663,0,3
O752,0,3
O730,0,3
O6012X0,0,3
O26613,0,3
O24414,0,3
O10011,0,3
O898,0,3
O085,0,3
O34219,0,3
O30042,0,3
O99814,0,3
O2493,0,3
O720,0,3
O161,0,3
O26872,0,3
O715,0,3
O690XX0,0,3
O4703,0,3
O26851,0,3
O99834,0,3
O2662,0,3
O7189,0,3
O368190,0,3
O322XX2,0,2
O30043,0,2
O717,0,2
O99314,0,2
O283,0,2
O1404,0,2
O8620,0,2
O99711,0,2
O8681,0,2
O3482,0,2
O471,0,2
O321XX2,0,2
O901,0,2
O9843,0,2
O9853,0,2
O09511,0,2
O9112,0,2
O322XX0,0,2
O9913,0,2
O09512,0,2
O9973,0,2
O43893,0,2
O0943,0,2
O641XX0,0,2
O4393,0,2
O663,0,2
O339,0,2
O98313,0,2
O0389,0,2
O99311,0,2
O2303,0,2
O873,0,2
O6013X0,0,2
O037,0,2
O99841,0,2
O878,0,2
O2312,0,2
O905,0,2
O99325,0,2
O458X3,0,2
O98311,0,2
O23592,0,2
O99712,0,2
O872,0,2
O620,0,2
O00201,0,2
O98511,0,2
O8601,0,2
O083,0,2
O30032,0,2
O34591,0,2
O30033,0,2
O9883,0,2
O151,0,2
O09899,0,1
O359XX0,0,1
O9113,0,1
O99845,0,1
O2652,0,1
O9842,0,1
O0484,0,1
O88313,0,1
O2603,0,1
O26612,0,1
O98211,0,1
O1002,0,1
O43122,0,1
O3132X3,0,1
O694XX1,0,1
O99320,0,1
O365130,0,1
O23522,0,1
O695XX0,0,1
O3403,0,1
O7103,0,1
O468X1,0,1
O352XX0,0,1
O0940,0,1
O10413,0,1
O10211,0,1
O0330,0,1
O328XX1,0,1
O00111,0,1
O328XX2,0,1
O322XX1,0,1
O7020,0,1
O411290,0,1
O2433,0,1
O99312,0,1
O131,0,1
O10012,0,1
O2402,0,1
O692XX0,0,1
O09211,0,1
O368122,0,1
O6989X2,0,1
O1424,0,1
O280,0,1
O2512,0,1
O0338,0,1
O365922,0,1
O1412,0,1
O42113,0,1
O0900,0,1
O1402,0,1
O628,0,1
O368320,0,1
O4442,0,1
O8604,0,1
O1033,0,1
O09891,0,1
O09293,0,1
O0911,0,1
O0480,0,1
O0281,0,1
O99119,0,1
O1494,0,1
O0333,0,1
O99713,0,1
O4443,0,1
O403XX1,0,1
O0973,0,1
O6012X1,0,1
O402XX1,0,1
O4102X2,0,1
O6012X2,0,1
O468X2,0,1
O679,0,1
O0883,0,1
O114,0,1
O2621,0,1
O925,0,1
O1410,0,1
O753,0,1
O318X31,0,1
O2691,0,1
O9229,0,1
O09529,0,1
O98213,0,1
O42012,0,1
O1205,0,1
O629,0,1
O2611,0,1
O43892,0,1
O9220,0,1
O1013,0,1
O10411,0,1
O329XX0,0,1
O10212,0,1
O1422,0,1
O30039,0,1
O43022,0,1
O870,0,1
O9862,0,1
O2241,0,1
O3442,0,1
O2492,0,1
O9213,0,1
O1003,0,1
O26843,0,1
O365920,0,1
O750,0,1
O368930,0,1
O139,0,1
O713,0,1
O23593,0,1
O2622,0,1
O3463,0,1
O324XX0,0,1
O000,0,1
O084,0,1
O30001,0,1
O702,0,1
O30132,0,1
O631,0,1
O074,0,1
O34592,0,1
O894,0,1
O082,0,1
O3133X0,0,1
O610,0,1
O24311,0,1
O24410,0,1
O99844,0,1
O2242,0,1
O9123,0,1
O0932,0,1
O98512,0,1
O745,0,1
O748,0,1
O2620,0,1
O6002,0,1
O228X1,0,1
O24429,0,1
O0901,0,1
O98911,0,1
O24424,0,1
O2222,0,1
O321XX1,0,1
O3483,0,1
