icd_code,ED,IPD
L03129,2724,3292
L03116,940,1220
L03115,833,1158
L089,351,216
L03113,317,436
L03114,285,394
L03329,285,548
L97509,241,891
L03212,197,219
L03211,122,169
L03049,118,201
L03029,105,158
L97529,93,443
L03317,87,154
L89159,85,1180
L03011,83,133
L97519,78,434
L97409,78,460
L02211,77,195
L03311,73,221
L500,59,187
L03012,56,102
L02414,54,90
L03032,52,135
L0231,51,99
L03019,48,67
L03031,48,118
L0889,47,60
L271,47,677
L03222,46,74
L02416,45,89
L97809,43,319
L7682,41,30
L02511,39,73
L7632,38,207
L0201,37,44
L0211,37,71
L7622,37,102
L02512,36,77
L97528,35,31
L02415,33,104
L03313,32,72
L98429,32,205
L03213,31,79
L270,30,462
L03221,29,68
L97429,29,243
L97518,29,29
L02413,29,80
L299,28,839
L02612,28,64
L259,26,600
L97419,26,230
L988,26,294
L732,25,200
L7634,24,100
L509,23,117
L89309,22,270
L89154,22,245
L02214,21,57
L88,21,95
L02212,18,43
L02611,17,79
L03314,17,46
L03312,17,40
L97209,15,169
L97309,14,159
L02411,13,22
L408,13,630
L02215,11,29
L03898,10,53
L97829,10,121
L97819,10,103
L298,9,213
L89209,9,72
L97418,9,26
L02213,9,30
L539,8,262
L02412,8,18
L98499,8,158
L89899,8,219
L508,7,55
L03315,7,16
L03811,7,16
L7621,7,27
L120,7,75
L89609,7,231
L89150,6,258
L4059,6,212
L519,6,7
L0502,6,8
L738,6,94
L97428,6,18
L03112,6,10
L0390,6,29
L309,5,385
L128,5,35
L0391,5,13
L97229,5,71
L739,5,82
L89319,5,16
L97329,5,74
L511,4,20
L97318,4,3
L03818,4,16
L0501,4,9
L538,4,47
L03319,4,26
L97828,4,8
L98498,4,12
L03111,4,14
L723,4,63
L03039,4,16
L89152,3,447
L89153,3,190
L7631,3,3
L922,3,0
L97319,3,55
L272,3,14
L97909,3,102
L932,3,46
L989,3,169
L2089,3,45
L89129,3,26
L982,3,110
L0592,3,17
L02818,3,8
L97219,3,66
L308,3,68
L02216,3,6
L02811,3,13
L943,2,26
L4050,2,292
L97929,2,106
L200,2,0
L97421,2,39
L559,2,8
L89512,2,7
L97818,2,6
L89314,2,17
L98419,2,32
L8990,2,23
L0103,2,30
L52,2,44
L600,2,35
L919,2,9
L255,2,11
L0100,2,28
L239,2,14
L562,1,4
L872,1,41
L02539,1,0
L290,1,5
L240,1,3
L758,1,1
L659,1,96
L89509,1,40
L251,1,18
L109,1,9
L97109,1,26
L139,1,3
L02439,1,3
L219,1,155
L89311,1,11
L97516,1,27
L258,1,23
L959,1,22
L209,1,38
L518,1,8
L89214,1,10
L89229,1,5
L280,1,34
L404,1,9
L7601,1,0
L2389,1,8
L89109,1,9
L89522,1,2
L89514,1,1
L568,1,3
L97328,1,5
L89224,1,16
L03321,1,0
L98418,1,1
L97218,1,2
L859,1,11
L930,1,49
L98415,1,0
L0232,1,4
L279,1,0
L89312,1,59
L89219,1,8
L97525,1,1
L89220,1,14
L89890,1,42
L89310,1,29
L100,1,5
L401,1,4
L639,1,8
L03119,1,21
L249,1,21
L303,1,2
L84,1,49
L89894,1,13
L958,1,35
L89612,1,22
L97512,1,11
L719,1,98
L03022,1,0
L0291,1,3
L98414,1,0
L041,1,2
L040,1,8
L89329,1,20
L89819,1,3
L97228,1,5
L89119,1,4
L97511,1,60
L942,1,10
L97413,1,3
L03316,1,4
L89322,1,55
L89151,1,117
L400,1,47
L409,0,613
L570,0,146
L599,0,136
L821,0,121
L304,0,118
L718,0,98
L97919,0,81
L281,0,77
L853,0,72
L80,0,71
L708,0,70
L89620,0,70
L89610,0,69
L709,0,67
L97521,0,51
L89892,0,47
L97514,0,41
L905,0,38
L89629,0,36
L97524,0,36
L89320,0,35
L900,0,34
L98491,0,33
L742,0,32
L740,0,31
L608,0,30
L97411,0,30
L89622,0,28
L89619,0,27
L111,0,27
L97526,0,27
L89893,0,26
L97811,0,25
L97821,0,24
L89302,0,24
L89324,0,24
L89621,0,23
L89623,0,22
L293,0,21
L929,0,21
L89611,0,21
L049,0,20
L598,0,20
L661,0,19
L97119,0,19
L89323,0,19
L89210,0,19
L819,0,18
L689,0,18
L501,0,18
L83,0,17
L439,0,17
L97211,0,17
L2489,0,17
L301,0,15
L818,0,15
L981,0,15
L89009,0,15
L97221,0,15
L97414,0,15
L98411,0,14
L700,0,14
L589,0,14
L97321,0,14
L89613,0,14
L97129,0,13
L97426,0,13
L97921,0,13
L89313,0,13
L720,0,13
L080,0,13
L89891,0,13
L980,0,13
L97311,0,13
L218,0,13
L928,0,13
L253,0,13
L231,0,12
L743,0,12
L89100,0,12
L97424,0,11
L658,0,10
L910,0,10
L89614,0,10
L89102,0,10
L89301,0,10
L89321,0,10
L949,0,10
L820,0,9
L403,0,9
L89529,0,9
L603,0,9
L918,0,9
L858,0,9
L0591,0,9
L0293,0,9
L89510,0,9
L503,0,8
L8992,0,8
L97911,0,8
L602,0,8
L680,0,8
L89010,0,8
L814,0,8
L0109,0,8
L97416,0,8
L97412,0,8
L89624,0,8
L89810,0,7
L292,0,7
L649,0,7
L89101,0,7
L237,0,7
L985,0,7
L131,0,7
L97111,0,7
L502,0,6
L638,0,6
L89520,0,6
L940,0,6
L89120,0,6
L89122,0,6
L490,0,6
L245,0,6
L02239,0,6
L89222,0,6
L931,0,6
L89124,0,6
L54,0,6
L97422,0,6
L728,0,6
L89212,0,6
L97522,0,6
L98421,0,5
L89303,0,5
L0233,0,5
L89223,0,5
L89812,0,5
L744,0,5
L89156,0,5
L02219,0,5
L513,0,5
L731,0,5
L729,0,5
L282,0,5
L130,0,5
L89519,0,5
L444,0,4
L129,0,4
L601,0,4
L418,0,4
L97212,0,4
L102,0,4
L89110,0,4
L89213,0,4
L920,0,4
L817,0,4
L02222,0,4
L7602,0,4
L950,0,4
L89523,0,3
L983,0,3
L89521,0,3
L8991,0,3
L851,0,3
L97813,0,3
L89132,0,3
L081,0,3
L042,0,3
L650,0,3
L89316,0,3
L530,0,3
L011,0,3
L8944,0,3
L42,0,3
L97415,0,3
L440,0,3
L532,0,3
L97121,0,3
L89140,0,3
L89112,0,3
L948,0,3
L668,0,3
L89221,0,3
L138,0,3
L97823,0,3
L8945,0,3
L0202,0,3
L97513,0,3
L02422,0,2
L89300,0,2
L233,0,2
L74519,0,2
L02421,0,2
L89513,0,2
L89020,0,2
L26,0,2
L300,0,2
L89011,0,2
L89021,0,2
L97816,0,2
L02419,0,2
L02223,0,2
L97826,0,2
L02436,0,2
L97814,0,2
L235,0,2
L89103,0,2
L244,0,2
L810,0,2
L0212,0,2
L97423,0,2
L02821,0,2
L97313,0,2
L7612,0,2
L89813,0,2
L1089,0,2
L906,0,2
L97825,0,2
L99,0,2
L89811,0,2
L89211,0,2
L89022,0,2
L7211,0,2
L89023,0,2
L0102,0,2
L89600,0,2
L89019,0,2
L590,0,2
L8993,0,2
L97223,0,2
L89626,0,2
L89616,0,2
L438,0,2
L103,0,1
L97802,0,1
L2481,0,1
L563,0,1
L491,0,1
L97201,0,1
L8940,0,1
L89113,0,1
L89123,0,1
L02425,0,1
L97502,0,1
L631,0,1
L97118,0,1
L02229,0,1
L531,0,1
L104,0,1
L97801,0,1
L89133,0,1
L89142,0,1
L89131,0,1
L291,0,1
L89306,0,1
L02432,0,1
L86,0,1
L02221,0,1
L02231,0,1
L449,0,1
L908,0,1
L4051,0,1
L97312,0,1
L97322,0,1
L97222,0,1
L97112,0,1
L89326,0,1
L03124,0,1
L97425,0,1
L951,0,1
L632,0,1
L8942,0,1
L499,0,1
L97804,0,1
L89121,0,1
L7681,0,1
L811,0,1
L89130,0,1
L730,0,1
L97812,0,1
L0882,0,1
L02639,0,1
L710,0,1
L578,0,1
L00,0,1
L97523,0,1
L944,0,1
L02619,0,1
L97401,0,1
L512,0,1
L8995,0,1
L493,0,1
L89814,0,1
L89896,0,1
L560,0,1
L89114,0,1
L97323,0,1
L7452,0,1
L816,0,1
L565,0,1
L302,0,1
L02433,0,1
L98428,0,1
L89104,0,1
L74510,0,1
L98494,0,1
L870,0,1
L22,0,1
L048,0,1
L043,0,1
L02232,0,1
L02519,0,1
L701,0,1
L89511,0,1
L564,0,1
L02434,0,1
L97925,0,1
L411,0,1
L1235,0,1
L89012,0,1
L4052,0,1
L702,0,1
L89029,0,1
L923,0,1
L97314,0,1
L871,0,1
L02838,0,1
L02224,0,1
L97122,0,1
L492,0,1
L495,0,1
L987,0,1
L247,0,1
L904,0,1
L0203,0,1
L97316,0,1
L750,0,1
L0292,0,1
