icd_code,ED,IPD
G40909,1391,5629
G20,662,2237
G35,569,1355
G40802,523,368
G939,329,231
G459,323,347
G9389,286,658
G309,284,2173
G8929,248,12548
G8918,165,766
G43909,115,4748
G40901,113,114
G40301,98,201
G039,91,61
G936,87,2674
G809,81,396
G7000,81,340
G061,78,282
G4700,60,7379
G8220,59,792
G971,57,181
G834,54,194
G893,54,2131
G911,50,461
G9349,45,327
G9340,43,2487
G959,43,103
G510,42,412
G454,42,100
G7001,41,78
G1221,37,104
G8190,36,478
G9529,33,163
G610,30,160
G08,26,93
G253,23,307
G932,23,211
G3183,22,514
G9589,20,90
G9520,20,37
G360,20,104
G453,18,42
G992,17,172
G912,17,191
G629,16,2320
G9782,16,138
G710,15,44
G308,15,50
G960,15,89
G9519,14,107
G43A0,14,45
G935,13,1017
G259,13,105
G8250,13,272
G40801,12,30
G92,11,5905
G500,10,272
G8389,10,62
G2582,10,30
G8191,9,799
G931,9,448
G4733,9,13732
G589,9,573
G0491,9,32
G919,9,208
G910,8,47
G40409,8,295
G2402,8,24
G909,8,315
G5790,7,364
G40209,7,423
G379,7,44
G114,7,32
G238,6,92
G062,6,31
G458,6,89
G9341,6,1770
G10,6,22
G930,6,97
G40109,6,363
G43809,6,257
G839,6,45
G894,5,694
G4089,5,298
G373,5,28
G479,5,128
G8194,5,975
G0489,5,53
G40309,5,285
G5630,5,31
G729,4,48
G6289,4,108
G9511,4,19
G3109,4,143
G252,4,475
G5690,4,72
G009,4,30
G4453,4,18
G0490,4,22
G060,4,73
G609,4,1487
G0481,3,36
G251,3,44
G030,3,67
G9761,3,14
G9619,3,61
G249,3,49
G6181,3,73
G540,3,68
G801,3,44
G44309,3,54
G950,3,32
G5600,3,207
G800,3,44
G808,3,43
G038,3,16
G43801,3,2
G608,3,91
G901,2,92
G588,2,57
G008,2,11
G2401,2,134
G7111,2,35
G8921,2,124
G255,2,22
G248,2,27
G8928,2,94
G544,2,8
G600,2,80
G378,2,19
G968,2,1
G2581,2,1846
G990,2,229
G111,2,43
G918,2,30
G527,2,12
G541,2,10
G4730,2,1297
G9382,2,122
G311,2,1
G5620,2,64
G042,2,24
G4441,1,24
G3185,1,7
G509,1,6
G8192,1,193
G988,1,27
G450,1,19
G7241,1,28
G90529,1,25
G4713,1,1
G9059,1,36
G032,1,7
G40919,1,104
G003,1,21
G5730,1,35
G3101,1,20
G8310,1,13
G8320,1,9
G43819,1,5
G40311,1,54
G0439,1,5
G8254,1,13
G1229,1,7
G01,1,16
G904,1,59
G2589,1,20
G43919,1,21
G43901,1,13
G8912,1,14
G44209,1,245
G4489,1,71
G622,1,46
G9751,1,24
G543,1,1
G40911,1,11
G44319,1,10
G523,1,8
G312,1,52
G5792,1,9
G4440,1,53
G55,1,6
G231,1,28
G300,1,41
G835,1,8
G319,1,138
G5700,1,23
G9009,1,8
G2409,1,6
G118,1,7
G5601,1,26
G5631,1,11
G3184,1,888
G5602,1,32
G43A1,1,5
G369,1,0
G8384,1,54
G8321,1,88
G5702,1,4
G7249,1,15
G250,1,357
G9611,1,16
G1220,1,4
G8382,1,3
G519,1,12
G804,1,1
G5731,1,3
G40509,1,56
G4709,1,35
G970,1,4
G9581,1,0
G43109,0,361
G620,0,239
G621,0,191
G8911,0,162
G47419,0,104
G40219,0,94
G460,0,87
G14,0,78
G40119,0,69
G7281,0,68
G63,0,67
G8324,0,65
G8104,0,62
G720,0,59
G44009,0,57
G547,0,55
G908,0,54
G43009,0,54
G903,0,52
G7289,0,52
G546,0,52
G4731,0,51
G43709,0,49
G3189,0,48
G8101,0,45
G40401,0,45
G902,0,42
G8100,0,40
G44229,0,38
G5710,0,36
G301,0,36
G94,0,35
G722,0,35
G40419,0,34
G9050,0,32
G9741,0,31
G09,0,30
G914,0,30
G4752,0,30
G43B0,0,29
G40804,0,29
G4710,0,28
G43D0,0,27
G8311,0,27
G478,0,26
G709,0,26
G2119,0,26
G4720,0,25
G8193,0,25
G5622,0,25
G2111,0,25
G8102,0,25
G713,0,24
G8314,0,23
G218,0,21
G5621,0,21
G8110,0,20
G9381,0,20
G131,0,19
G802,0,19
G4737,0,18
G4739,0,18
G43409,0,18
G214,0,18
G002,0,18
G518,0,17
G4734,0,16
G119,0,16
G2571,0,16
G8222,0,16
G587,0,16
G5603,0,16
