icd_code,ED,IPD
M545,2269,4402
M549,1225,4907
M7989,1012,1147
M79609,1008,1811
M542,698,1694
M25559,465,846
M25551,341,503
M6282,333,1011
M25569,325,801
M25552,280,418
M25519,248,919
M79662,241,166
M3210,234,551
M797,214,3013
M79661,211,152
M25561,207,437
M25562,194,413
M5489,178,149
M869,164,592
M7981,158,470
M069,137,2961
M109,125,8460
M25511,123,452
M25512,116,484
M5127,100,476
M546,99,117
M79672,92,158
M79671,85,185
M009,67,103
M329,67,443
M726,65,138
M25579,61,210
M9702XA,61,74
M25539,60,111
M791,56,245
M5430,56,753
M00869,55,132
M9701XA,55,83
M25571,54,117
M949,53,1739
M79605,51,300
M25469,50,142
M8468XA,46,618
M25572,45,100
M7020,45,73
M1000,44,455
M79604,41,282
M4620,40,206
M5417,39,367
M65849,38,79
M4800,34,1469
M5126,33,190
M79602,32,156
M2550,31,248
M4806,30,1024
M25532,29,91
M4802,29,756
M25531,28,85
M272,28,63
M79641,28,63
M5431,27,67
M84459A,26,70
M5020,26,103
M86279,25,154
M5416,25,363
M25522,24,56
M4854XA,24,194
M129,22,961
M4626,22,143
M9712XA,22,34
M79651,20,65
M79601,19,75
M25461,19,106
M5408,19,68
M86172,19,149
M8628,19,62
M79622,19,22
M62838,18,414
M436,18,82
M65841,18,25
M86171,17,149
M9711XA,17,38
M8448XA,17,247
M4856XA,17,179
M8458XA,17,178
M4646,17,73
M65842,16,29
M48061,16,444
M179,15,905
M25521,15,51
M00819,15,49
M349,15,227
M353,14,1195
M868X7,14,207
M79642,14,47
M79674,14,19
M5187,13,112
M7120,13,60
M79652,13,68
M7910,13,78
M79631,13,8
M25462,13,108
M533,13,65
M4624,13,71
M7040,12,29
M7918,12,41
M00859,12,45
M5412,12,233
M25529,12,83
M5432,12,51
M793,11,93
M3390,11,54
M25069,10,28
M868X8,10,78
M00829,10,13
M130,10,59
M79621,9,11
M3130,9,138
M79645,9,21
M84453A,9,24
M9080,9,334
M79644,9,12
M7050,9,13
M216X9,9,337
M96830,9,36
M79632,8,13
M87059,8,107
M21372,8,200
M00861,8,17
M5442,8,41
M84429A,8,27
M5106,8,40
M3501,8,207
M9689,8,38
M316,8,287
M00879,8,23
M5090,8,45
M4712,7,298
M792,7,138
M5413,7,131
M899,7,96
M6281,7,572
M795,7,45
M810,7,8617
M79675,7,23
M7022,7,13
M25476,7,21
M4627,7,35
M6289,7,150
M6008,7,64
M5125,7,24
M24419,6,14
M659,6,62
M4628,6,68
M1990,6,6727
M5441,6,43
M609,6,59
M459,6,243
M25542,5,10
M7620,5,68
M5185,5,26
M84452A,5,10
M3320,5,73
M00839,5,19
M5000,5,66
M25431,5,6
M4647,5,28
M352,5,52
M1611,5,97
M5116,5,210
M25062,5,22
M7021,5,14
M359,5,86
M60009,5,35
M10062,5,7
M7041,5,7
M5137,5,284
M00862,5,13
M25541,5,15
M86259,4,19
M4644,4,31
M62830,4,103
M3214,4,171
M79A19,4,7
M96841,4,18
M25439,4,11
M10061,4,14
M79A22,4,16
M7180,4,11
M8618,4,8
M25459,4,13
M4622,4,39
M96842,4,35
M86679,4,123
M84559A,4,10
M25471,4,16
M519,4,86
M71122,4,9
M84551A,4,24
M311,4,75
M7122,4,44
M10071,4,22
M86659,3,39
M7052,3,4
M21339,3,7
