icd_code,ED,IPD
F329,7585,38588
F1010,4536,9688
F10129,3769,3490
F29,1539,1852
F10229,1318,2315
F419,1292,26472
F0390,1113,6181
F1020,796,2992
F10239,757,2710
F319,654,5515
F1910,535,669
F209,518,1825
F22,409,699
F1810,402,1143
F39,320,1697
F1110,310,1822
F1410,305,2016
F3110,262,270
F259,221,1440
F0280,208,2803
F5000,183,309
F4312,181,1832
F919,162,145
F1210,143,1146
F1920,137,386
F1120,130,2209
F603,112,1061
F309,101,80
F200,97,513
F79,90,530
F10230,76,34
F1510,66,375
F410,61,1028
F19939,59,390
F10120,57,18
F3130,53,289
F23,52,138
F4310,51,3215
F509,50,232
F332,50,443
F1310,48,331
F251,46,32
F1420,46,320
F602,45,479
F339,39,931
F0281,32,489
F322,32,134
F10231,31,278
F312,31,144
F909,31,2332
F2089,29,37
F0391,29,436
F1320,29,181
F99,28,135
F4321,28,313
F1610,28,38
F70,26,223
F1994,26,102
F3181,25,250
F19921,23,268
F323,22,187
F609,21,295
F502,21,120
F411,21,750
F202,21,68
F3189,21,33
F840,20,190
F1290,19,1911
F10220,19,16
F848,19,65
F88,19,50
F1123,18,348
F068,18,317
F0150,17,988
F4320,16,309
F1520,15,79
F308,14,12
F17210,14,10999
F11120,13,0
F302,12,45
F441,12,1
F53,12,45
F10980,12,34
F449,12,57
F4323,12,204
F0781,11,148
F333,10,120
F42,10,319
F918,10,35
F13239,10,55
F15120,10,0
F079,9,0
F418,9,671
F341,9,611
F1490,9,729
F0630,8,32
F201,8,14
F331,8,90
F314,8,54
F1220,8,166
F348,8,19
F438,8,24
F315,8,45
F28,8,26
F19120,7,1
F321,7,30
F4481,7,25
F12120,7,0
F11129,7,66
F14120,7,4
F1190,6,664
F250,6,188
F10232,6,34
F451,6,12
F2081,6,11
F3160,6,42
F4322,6,132
F1029,5,7
F05,5,3451
F458,5,114
F19951,5,56
F446,5,94
F3010,5,40
F1999,5,21
F3289,5,34
F258,5,9
F09,4,130
F607,4,23
F061,4,46
F429,4,315
F14129,4,87
F15129,4,49
F439,4,51
F530,4,6
F1019,4,7
F205,4,72
F16120,3,0
F13230,3,1
F819,3,82
F5001,3,109
F3113,3,12
F4001,3,117
F14188,3,13
F508,3,12
F445,3,77
F640,3,64
F14229,3,18
F605,3,9
F19988,3,19
F952,3,54
F9829,3,29
F89,3,122
F430,3,91
F4324,3,30
F4542,3,36
F4325,3,53
F19159,3,1
F1096,2,23
F5002,2,47
F531,2,0
F12920,2,0
F428,2,8
F070,2,31
F639,2,32
F338,2,12
F1390,2,73
F959,2,9
F04,2,39
F1590,2,264
F604,2,12
F8189,2,39
F459,2,119
F6381,2,26
F72,2,58
F19950,2,7
F1021,2,1927
F0151,2,186
F688,2,22
F15150,2,2
F13120,2,0
F19930,2,0
F10929,2,21
F10188,2,30
F10951,1,25
F653,1,0
F71,1,25
