icd_code,ED,IPD
W1830XA,5081,1851
W19XXXA,4085,4728
X58XXXA,2948,2549
Y9289,1542,1778
Y838,1398,4375
W108XXA,936,1150
Y848,897,4266
V4988XA,649,375
W1849XA,609,2131
W010XXA,516,1162
W1789XA,473,514
V0310XA,418,308
W1839XA,399,671
W109XXA,358,672
V4352XA,335,151
Y0889XA,301,120
W51XXXA,291,165
Y833,269,535
X789XXA,254,331
W11XXXA,227,367
Y832,221,1944
W06XXXA,221,710
W01198A,220,495
V100XXA,180,173
Y09,176,203
V2949XA,169,76
V4959XA,167,117
W458XXA,130,142
W228XXA,121,147
V475XXA,109,96
W000XXA,108,201
W5501XA,104,159
Y042XXA,100,176
W312XXA,100,96
X959XXA,97,75
X999XXA,91,98
V8609XA,91,122
W208XXA,86,133
Y841,86,361
W101XXA,86,121
Y835,85,270
V4362XA,85,42
Y831,84,1703
X31XXXA,82,84
W540XXA,78,106
Y828,75,152
W07XXXA,68,306
X500XXA,66,66
W230XXA,63,57
X788XXA,60,84
Y048XXA,59,32
V134XXA,57,54
X838XXA,57,127
W3189XA,56,68
Y040XXA,55,263
W050XXA,54,149
W2189XA,53,36
Y9355,53,40
X781XXA,53,96
V499XXA,50,107
V1988XA,49,21
W298XXA,48,43
V1960XA,48,55
V0920XA,47,32
W052XXA,44,119
V234XXA,42,52
V199XXA,40,30
W139XXA,38,77
V2988XA,38,26
V4752XA,37,26
X991XXA,35,39
V4940XA,35,42
V485XXA,32,192
W260XXA,31,48
W182XXA,30,93
Y846,30,1165
W08XXXA,29,60
W1811XA,28,135
V284XXA,27,67
V299XXA,27,37
Y0701,25,29
V274XXA,25,12
Y908,25,132
W57XXXA,24,93
W3400XA,24,34
W500XXA,24,26
V230XXA,22,1
Y929,21,13541
Y93K1,20,19
W5589XA,20,20
X19XXXA,19,23
Y844,19,169
V80010A,19,23
V8619XA,18,31
V8659XA,18,25
Y9323,17,17
V476XXA,17,20
W1809XA,17,332
X501XXA,17,52
V0390XA,17,45
W132XXA,16,35
W19XXXS,16,181
W25XXXA,16,33
V484XXA,16,34
W12XXXA,15,27
Y0711,14,24
V470XXA,14,33
V8011XA,14,23
W268XXA,14,20
V4950XA,14,17
W100XXA,13,16
Y041XXA,13,35
V193XXA,13,21
V180XXA,13,42
Y738,13,110
Y907,12,37
W03XXXA,12,43
W01110A,12,20
W14XXXA,12,16
W320XXA,11,14
V099XXA,11,24
X93XXXA,11,34
Y95,11,137
V878XXA,11,15
X30XXXA,11,19
Y906,11,53
Y9352,11,6
X780XXA,10,12
W01190A,10,76
Y834,10,286
Y9366,9,19
X958XXA,9,1
Y93H2,9,14
V445XXA,9,7
V486XXA,9,45
X12XXXA,9,11
V889XXA,9,8
W278XXA,9,19
W28XXXA,8,2
W2209XA,8,101
X509XXA,8,21
Y9302,8,16
Y839,8,144
W0110XA,8,84
W3409XA,8,2
W503XXA,8,12
V4762XA,8,6
Y849,8,115
Y9301,7,151
X998XXA,7,8
V0319XA,7,10
X001XXA,7,9
W134XXA,7,12
Y9311,7,3
V892XXA,7,143
V0300XA,7,17
W74XXXA,7,9
Y830,7,1553
W172XXA,7,8
W240XXA,6,18
V8656XA,6,9
Y9389,6,268
V446XXA,6,2
Y00XXXA,6,79
Y798,6,5
X828XXA,6,10
W1692XA,6,5
V699XXA,6,12
Y0802XA,6,10
Y9367,6,15
V170XXA,6,9
X818XXA,6,5
Y840,6,334
Y9364,5,11
Y92009,5,4269
W2203XA,5,27
Y842,5,761
W938XXA,5,8
W001XXA,5,32
Y9351,5,13
V8652XA,5,6
W67XXXA,5,4
Y33XXXS,5,61
V4702XA,5,24
X80XXXA,4,19
V4302XA,4,6
W294XXA,4,4
V4351XA,4,0
V204XXA,4,4
W231XXA,4,13
W269XXA,4,6
Y792,4,52
V8655XA,4,5
V493XXA,4,5
X79XXXA,4,11
Y902,4,10
V0900XA,4,14
Y9331,4,10
W450XXA,4,7
X028XXA,4,2
W69XXXA,4,4
V2959XA,4,6
V877XXA,4,9
Y93H1,4,7
W3089XA,4,5
W39XXXA,4,4
Y9361,4,7
V0399XA,4,10
W860XXA,4,4
Y903,3,9
W1812XA,3,39
V0909XA,3,2
W138XXA,3,12
V575XXA,3,7
X739XXA,3,0
W34010A,3,2
X76XXXA,3,5
V104XXA,3,0
V244XXA,3,4
V0590XA,3,1
W1642XA,3,2
W130XXA,3,9
W5503XA,3,11
Y079,3,6
V0100XA,3,8
V4353XA,3,5
Y93B3,3,2
W2103XA,3,4
W4909XA,3,0
V9189XA,3,2
W1830XD,3,27
V9333XA,3,2
W3183XA,3,3
W540XXD,3,2
X088XXA,3,16
V580XXA,3,7
V4342XA,3,10
