icd_code,ED,IPD
H538,322,763
H532,183,654
H539,73,135
H109,42,325
H05019,33,23
H5713,31,63
H548,19,1132
H1133,18,91
H4920,16,95
H469,16,81
H05011,15,13
H4900,14,59
H578,14,95
H02402,13,90
H5712,12,31
H4710,12,32
H3400,12,21
H02409,12,158
H05012,10,11
H3412,10,17
H53129,10,29
H5460,9,52
H5711,8,28
H540,8,285
H53122,8,10
H3411,8,19
H0520,8,61
H5704,7,45
H5500,7,184
H409,7,4937
H209,6,62
H5461,6,94
H00039,6,13
H468,6,33
H5340,6,94
H4902,5,40
H547,5,239
H40052,5,14
H0589,4,20
H543,4,54
H40009,4,15
H53469,4,232
H40051,4,8
H5509,4,90
H02401,4,69
H5702,4,229
H349,4,49
H4711,3,16
H53461,3,107
H5120,3,8
H4921,3,37
H53123,3,7
H1131,3,43
H4901,3,31
H4313,3,27
H1132,3,46
H5462,3,106
H40219,2,14
H34231,2,6
H16001,2,9
H4720,2,17
H4610,2,2
H4940,2,2
H04129,2,197
H53419,2,3
H5010,2,39
H4903,2,5
H34232,2,10
H5347,2,79
H53121,2,6
H16002,2,5
H43819,2,35
H2000,2,2
H3413,2,10
H4922,2,42
H1089,2,52
H49819,1,41
H0289,1,7
H00019,1,7
H168,1,12
H3093,1,20
H5703,1,17
H4010X4,1,90
H44119,1,1
H3509,1,6
H05229,1,18
H4020X4,1,20
H169,1,18
H27119,1,1
H579,1,23
H11429,1,20
H34239,1,7
H5310,1,2
H3500,1,76
H3530,1,1192
H53489,1,3
H479,1,2
H04419,1,2
H16009,1,18
H019,1,3
H2103,1,2
H02209,1,7
H338,1,6
H4312,1,12
H01004,1,1
H00015,1,5
H0011,1,1
H11423,1,1
H01006,1,11
H47021,1,0
H35033,1,7
H47092,1,2
H269,1,1023
H05231,1,2
H5122,1,3
H53462,1,127
H53451,1,21
H40211,1,3
H40212,1,2
H11422,1,3
H59021,1,0
H44812,1,0
H10212,1,0
H15011,1,0
H4612,1,1
H05121,1,0
H1033,1,17
H53452,1,22
H3323,1,3
H00016,1,6
H53132,1,2
H04302,1,1
H16003,1,2
H518,1,48
H44112,1,3
H49882,1,1
H05022,1,1
H44001,1,5
H5440,0,382
H53149,0,152
H4010X0,0,106
H5441,0,98
H5442,0,97
H04123,0,80
H4089,0,61
H35039,0,57
H4011X4,0,48
H40059,0,46
H3531,0,40
H01009,0,37
H3320,0,36
H43399,0,31
H510,0,30
H524,0,29
H2510,0,29
H42,0,29
H3560,0,28
H3532,0,26
H401190,0,25
H3552,0,24
H47019,0,24
H5000,0,23
H519,0,22
H4020X0,0,22
H4311,0,22
H53009,0,21
H53459,0,20
H47619,0,20
H02403,0,20
H4910,0,18
H353290,0,18
H509,0,17
H268,0,17
H401130,0,17
H5410,0,17
H15109,0,16
H1840,0,16
H2513,0,14
H5213,0,14
H189,0,13
H5501,0,12
H47099,0,12
H353190,0,11
H4011X0,0,11
H52209,0,11
H01003,0,11
H34819,0,11
H3581,0,11
H35369,0,11
H5450,0,10
H5052,0,10
H04122,0,10
H1851,0,10
H4923,0,10
H11419,0,10
H5412,0,9
H5210,0,9
H44009,0,9
H35719,0,9
H15099,0,9
H25019,0,9
H5589,0,9
H3322,0,9
H359,0,8
H5050,0,8
H401290,0,8
H02849,0,8
H33059,0,8
H542,0,8
H1045,0,8
H3090,0,8
H40053,0,8
H5089,0,7
H259,0,7
H3561,0,7
H43392,0,7
H401490,0,7
H4912,0,7
