icd_code,ED,IPD
A419,3007,7779
B1920,756,4993
B20,462,1709
A047,151,2317
B182,150,2840
B9789,137,600
B029,110,364
B349,92,410
B179,50,70
A879,45,158
B9689,32,2419
B2790,30,99
B1910,29,745
A0472,27,643
A4189,24,502
A6920,23,206
B600,23,60
A09,18,442
A480,17,53
B9562,16,1101
B028,15,51
A088,14,736
A878,13,11
B3783,13,700
B86,12,58
B373,11,366
B54,11,5
B372,10,259
B027,10,31
B59,10,91
B0239,9,27
B0230,9,44
B49,8,153
B259,8,203
B0089,8,62
A523,8,29
A0471,8,156
B1710,7,72
B181,7,766
B9561,7,1773
B009,7,464
B999,7,77
A084,7,744
B998,7,34
B965,7,1128
B0229,7,256
B3789,7,250
B0221,6,24
A4902,5,18
B370,5,813
A150,5,39
B451,4,25
B021,4,15
B961,4,1729
B353,4,236
B3781,4,380
B199,4,25
B019,4,21
B952,3,1972
B169,3,23
B003,3,33
B9620,3,2751
B258,3,78
B538,3,2
B954,3,661
A319,3,17
A072,3,11
B1921,3,164
B150,3,1
A182,3,7
B09,3,25
A46,3,50
A812,2,32
A858,2,2
B004,2,34
B0233,2,16
B0052,2,48
B955,2,99
B355,2,52
A609,2,97
B376,2,14
B0050,2,9
A7749,2,51
A449,2,0
B354,2,35
B958,2,172
A5219,2,4
B001,2,104
A499,2,4
B871,2,3
A0811,2,148
B379,2,230
B250,2,12
B350,2,7
B000,2,4
B356,2,151
A57,2,1
A312,2,21
B459,2,21
A020,1,49
A0100,1,6
B170,1,0
B178,1,11
B3749,1,324
B189,1,4
B949,1,40
A049,1,45
B589,1,16
B571,1,2
B699,1,18
A888,1,3
B950,1,140
B9629,1,2253
B509,1,14
B002,1,57
B889,1,2
A630,1,87
A6004,1,13
B741,1,1
B854,1,4
B957,1,685
B879,1,6
B449,1,79
B358,1,31
A539,1,30
B658,1,1
B377,1,115
A6009,1,19
B159,1,77
A86,1,25
A159,1,16
B89,1,0
A6000,1,100
A198,1,0
A029,1,6
B369,1,95
A5149,1,7
A6921,1,6
A872,1,2
B3324,1,9
B390,1,1
B352,1,1
A491,1,3
A749,1,15
A35,1,1
A329,1,4
A1801,1,12
A770,1,3
B488,1,56
A5401,1,1
B085,1,2
B850,1,12
B2780,1,1
A219,1,1
A3981,1,0
B007,1,4
A155,1,0
B690,1,10
A488,1,6
A281,1,2
B351,1,191
A5442,1,7
A498,1,13
A6929,1,14
B964,1,813
A5216,1,24
A4150,1,122
A8039,1,0
A310,1,101
A4151,0,1237
A4159,0,591
A4101,0,479
B9681,0,461
B951,0,420
A409,0,326
A4102,0,245
A4181,0,242
A4152,0,204
A411,0,183
A408,0,118
A414,0,103
A403,0,98
B966,0,73
B963,0,71
B974,0,64
A481,0,61
A4153,0,60
A401,0,60
A045,0,55
A0839,0,55
B309,0,54
B441,0,48
B948,0,46
B2700,0,45
B368,0,43
B440,0,41
B91,0,36
A400,0,33
A5211,0,33
B953,0,33
A048,0,33
B348,0,32
B967,0,28
B4481,0,27
A059,0,24
A4901,0,21
B371,0,19
A199,0,19
B977,0,19
A530,0,19
A280,0,18
A430,0,18
B789,0,18
B5889,0,18
B909,0,17
A938,0,16
B1911,0,16
A412,0,16
B360,0,16
B450,0,15
B941,0,15
B659,0,15
B942,0,14
A932,0,14
A021,0,13
A318,0,13
B970,0,13
A601,0,12
A369,0,12
A6001,0,12
A483,0,12
B359,0,12
A071,0,12
B9733,0,12
A880,0,11
A044,0,11
B020,0,11
B070,0,10
B3742,0,10
A5400,0,10
A6922,0,10
B0222,0,10
B338,0,10
B0223,0,9
A5619,0,9
B3741,0,9
B572,0,9
A89,0,9
B852,0,8
B079,0,8
A420,0,8
A546,0,8
B582,0,8
B078,0,8
A438,0,8
B2709,0,8
B4489,0,8
B960,0,8
B1711,0,7
A413,0,7
B0189,0,7
B251,0,7
A90,0,7
A549,0,6
B010,0,6
A6923,0,6
B399,0,6
A562,0,6
B457,0,6
B9710,0,6
B172,0,6
A528,0,6
B9735,0,5
B851,0,5
A311,0,5
A031,0,5
B780,0,5
B0224,0,5
B303,0,5
B1089,0,5
A039,0,5
B161,0,5
B447,0,5
A1782,0,5
B0059,0,5
A870,0,5
A390,0,5
B1009,0,4
A510,0,4
A5611,0,4
A7489,0,4
A427,0,4
A028,0,4
B081,0,4
B829,0,4
A7740,0,4
B870,0,4
A529,0,4
A156,0,4
B1081,0,4
A5486,0,4
A5424,0,4
B343,0,4
A363,0,4
B469,0,4
A599,0,4
B9719,0,4
B9729,0,4
A078,0,4
A260,0,3
B0232,0,3
B661,0,3
A082,0,3
A394,0,3
B0112,0,3
A78,0,3
B9622,0,3
A563,0,3
A5901,0,3
A392,0,3
A157,0,3
A5600,0,3
A1781,0,3
B888,0,3
A038,0,3
A050,0,3
A55,0,3
A033,0,3
B340,0,3
A327,0,3
B0231,0,2
B088,0,2
A030,0,2
A5217,0,2
B976,0,2
A069,0,2
B333,0,2
A1859,0,2
B3782,0,2
B389,0,2
A5449,0,2
B342,0,2
B012,0,2
A3689,0,2
A799,0,2
A0229,0,2
A881,0,2
A819,0,2
A8100,0,2
A080,0,2
A689,0,2
B465,0,2
A5139,0,2
B2799,0,2
B670,0,2
A5215,0,2
B341,0,2
B9711,0,2
A8109,0,2
B334,0,2
B2710,0,2
B387,0,2
A046,0,2
A3790,0,2
A184,0,2
B269,0,2
B0111,0,2
A058,0,2
B650,0,2
B3323,0,2
A014,0,1
B471,0,1
B2719,0,1
A753,0,1
B2701,0,1
B9623,0,1
A1854,0,1
B678,0,1
B344,0,1
B458,0,1
B308,0,1
B468,0,1
A771,0,1
A920,0,1
B400,0,1
A439,0,1
A055,0,1
A1802,0,1
B96,0,1
B0081,0,1
B651,0,1
B9682,0,1
A158,0,1
B331,0,1
